Room1	207.234	7	80	200
Room2	133.234	3	41	850
Room3	96	7	55	1120
Room4	225	3	93	1160
Room5	156	5	31	1060
Room6	232	7	147	1090
Room7	218	6	30	820
Room8	101	5	43	720
Room9	198	3	58	1080
Room10	138	7	138	480
Room11	109.57	2	111	390
Room12	234.76	2	59	670
Room13	161	4	137	70
Room14	121.34	3	70	780
Room15	219	2	121	530
Room16	186	3	32	700
Room17	229.65	8	118	1210
Room18	230	6	138	380
Room19	188	8	71	430
Room20	235	8	28	1310
Room21	95.98	8	38	600
Room22	205	8	99	910
Room23	139	5	127	430
Room24	247	2	55	220
Room25	181	2	95	860
Room26	97	5	87	810
Room27	104	3	8	160
Room28	124	8	52	40
Room29	129	8	4	1430
Room30	158	2	141	1190
Room31	183	8	97	230
Room32	114	5	78	570
Room33	231	3	64	1110
Room34	148	8	72	950
Room35	128	3	33	1390
Room36	99	6	131	1470
Room37	242	2	132	80
Room38	166	4	106	460
Room39	127	3	68	190
Room40	131	8	3	240
Room41	203	5	85	1390
Room42	215	8	125	1310
Room43	226	8	131	510
Room44	169	5	118	50
Room45	113	5	24	1350
Room46	184	3	19	630
Room47	193	6	120	90
Room48	109	7	98	400
Room49	220	5	52	1370
Room50	108	2	108	810
Room51	237	2	30	30
Room52	113	7	55	310
Room53	133	7	135	1190
Room54	174	7	115	500
Room55	102	3	82	820
Room56	244	5	67	440
Room57	147	7	136	1000
Room58	235	2	146	980
Room59	115	5	80	1070
Room60	142	6	28	90
Room61	113	2	50	680
Room62	214	3	86	1360
Room63	122	6	65	1050
Room64	138	6	4	330
Room65	113	4	20	1050
Room66	234	3	7	310
Room67	112	5	94	400
Room68	115	8	148	740
Room69	174	4	130	510
Room70	133	8	50	650
Room71	192	5	11	10
Room72	231	6	51	710
Room73	99	6	142	1400
Room74	226	3	26	480
Room75	125	6	8	380
Room76	225	3	56	720
Room77	181	3	49	230
Room78	92	4	20	1080
Room79	201	8	133	1180
Room80	245	4	76	510
Room81	195	8	33	560
Room82	231	5	142	1300
Room83	242	6	128	1490
Room84	158	3	20	140
Room85	138.98	3	1	330
Room86	174	3	88	1050
Room87	241.45	5	68	180
Room88	113	3	6	1190
Room89	201	8	75	520
Room90	167	2	108	840
Room91	126	6	31	180
Room92	228.234	2	123	1030
Room93	217	5	27	500
Room94	220	5	82	40
Room95	237	5	67	1020
Room96	147.56	5	28	1240
Room97	165	5	107	1020
Room98	171	2	15	460
Room99	93.56	8	2	600
Room100	96.0034	6	26	960
RoomZ	1	2	3	40
